timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/27 18:46:36.641, 2, 18 %, 4 %, 606 MiB, 49140 MiB, 50, 84.11 W
2026/03/27 18:46:36.641, 3, 6 %, 2 %, 618 MiB, 49140 MiB, 46, 80.71 W
2026/03/27 18:47:06.642, 0, 2 %, 1 %, 1863 MiB, 49140 MiB, 48, 86.33 W
2026/03/27 18:47:06.642, 1, 10 %, 2 %, 608 MiB, 49140 MiB, 51, 80.43 W
2026/03/27 18:47:06.642, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 83.48 W
2026/03/27 18:47:06.642, 3, 0 %, 0 %, 618 MiB, 49140 MiB, 46, 79.53 W
2026/03/27 18:47:36.643, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 84.53 W
2026/03/27 18:47:36.643, 1, 11 %, 2 %, 608 MiB, 49140 MiB, 51, 80.92 W
2026/03/27 18:47:36.644, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 84.38 W
2026/03/27 18:47:36.644, 3, 15 %, 3 %, 618 MiB, 49140 MiB, 46, 78.78 W
2026/03/27 18:48:06.644, 0, 2 %, 1 %, 1863 MiB, 49140 MiB, 48, 89.88 W
2026/03/27 18:48:06.645, 1, 8 %, 2 %, 608 MiB, 49140 MiB, 51, 82.98 W
2026/03/27 18:48:06.645, 2, 19 %, 4 %, 606 MiB, 49140 MiB, 50, 85.74 W
2026/03/27 18:48:06.645, 3, 10 %, 3 %, 618 MiB, 49140 MiB, 46, 81.73 W
2026/03/27 18:48:36.646, 0, 17 %, 4 %, 1863 MiB, 49140 MiB, 48, 90.92 W
2026/03/27 18:48:36.646, 1, 14 %, 3 %, 608 MiB, 49140 MiB, 51, 84.65 W
2026/03/27 18:48:36.646, 2, 12 %, 2 %, 606 MiB, 49140 MiB, 50, 83.36 W
2026/03/27 18:48:36.646, 3, 13 %, 3 %, 618 MiB, 49140 MiB, 46, 78.18 W
2026/03/27 18:49:06.647, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 87.44 W
2026/03/27 18:49:06.647, 1, 13 %, 2 %, 608 MiB, 49140 MiB, 51, 81.18 W
2026/03/27 18:49:06.647, 2, 13 %, 3 %, 606 MiB, 49140 MiB, 50, 85.85 W
2026/03/27 18:49:06.648, 3, 16 %, 3 %, 618 MiB, 49140 MiB, 46, 81.96 W
2026/03/27 18:49:36.648, 0, 0 %, 0 %, 1863 MiB, 49140 MiB, 48, 86.40 W
2026/03/27 18:49:36.649, 1, 20 %, 4 %, 608 MiB, 49140 MiB, 51, 81.42 W
2026/03/27 18:49:36.649, 2, 12 %, 2 %, 606 MiB, 49140 MiB, 50, 82.99 W
2026/03/27 18:49:36.649, 3, 14 %, 3 %, 618 MiB, 49140 MiB, 46, 80.30 W
2026/03/27 18:50:06.650, 0, 14 %, 3 %, 1863 MiB, 49140 MiB, 48, 88.74 W
