timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], temperature.gpu, power.draw [W]
2026/03/29 01:14:02.320, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 61, 104.09 W
2026/03/29 01:14:02.321, 2, 50 %, 12 %, 3510 MiB, 49140 MiB, 59, 129.62 W
2026/03/29 01:14:02.321, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 56, 122.32 W
2026/03/29 01:14:32.322, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 58, 114.07 W
2026/03/29 01:14:32.322, 1, 29 %, 17 %, 3512 MiB, 49140 MiB, 59, 122.79 W
2026/03/29 01:14:32.322, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 117.77 W
2026/03/29 01:14:32.322, 3, 0 %, 0 %, 3510 MiB, 49140 MiB, 58, 113.18 W
2026/03/29 01:15:02.323, 0, 0 %, 0 %, 4765 MiB, 49140 MiB, 57, 113.78 W
2026/03/29 01:15:02.323, 1, 97 %, 35 %, 3512 MiB, 49140 MiB, 59, 104.21 W
2026/03/29 01:15:02.324, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 60, 112.03 W
2026/03/29 01:15:02.324, 3, 0 %, 0 %, 6232 MiB, 49140 MiB, 55, 102.58 W
2026/03/29 01:15:32.324, 0, 60 %, 35 %, 7745 MiB, 49140 MiB, 56, 133.79 W
2026/03/29 01:15:32.325, 1, 0 %, 0 %, 3512 MiB, 49140 MiB, 59, 112.94 W
2026/03/29 01:15:32.325, 2, 0 %, 0 %, 3510 MiB, 49140 MiB, 59, 121.65 W
2026/03/29 01:15:32.325, 3, 0 %, 0 %, 6492 MiB, 49140 MiB, 59, 125.60 W
2026/03/29 01:16:02.325, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 61, 135.30 W
2026/03/29 01:16:02.326, 1, 0 %, 0 %, 6490 MiB, 49140 MiB, 58, 97.36 W
2026/03/29 01:16:02.326, 2, 0 %, 0 %, 6492 MiB, 49140 MiB, 60, 141.02 W
2026/03/29 01:16:02.326, 3, 97 %, 17 %, 6494 MiB, 49140 MiB, 57, 148.75 W
2026/03/29 01:16:32.327, 0, 5 %, 3 %, 7747 MiB, 49140 MiB, 61, 138.62 W
2026/03/29 01:16:32.327, 1, 93 %, 22 %, 6492 MiB, 49140 MiB, 60, 125.72 W
2026/03/29 01:16:32.327, 2, 100 %, 25 %, 6492 MiB, 49140 MiB, 60, 144.81 W
2026/03/29 01:16:32.327, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 61, 101.24 W
2026/03/29 01:17:02.328, 0, 17 %, 11 %, 7747 MiB, 49140 MiB, 60, 145.40 W
2026/03/29 01:17:02.328, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 64, 125.65 W
2026/03/29 01:17:02.329, 2, 0 %, 0 %, 6492 MiB, 49140 MiB, 62, 133.09 W
2026/03/29 01:17:02.329, 3, 18 %, 18 %, 6494 MiB, 49140 MiB, 58, 145.99 W
2026/03/29 01:17:32.330, 0, 100 %, 60 %, 7747 MiB, 49140 MiB, 61, 158.90 W
2026/03/29 01:17:32.330, 1, 100 %, 3 %, 6494 MiB, 49140 MiB, 61, 141.48 W
2026/03/29 01:17:32.330, 2, 0 %, 0 %, 6492 MiB, 49140 MiB, 61, 134.98 W
2026/03/29 01:17:32.330, 3, 87 %, 16 %, 6494 MiB, 49140 MiB, 58, 145.49 W
2026/03/29 01:18:02.331, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 60, 137.51 W
2026/03/29 01:18:02.331, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 64, 126.78 W
2026/03/29 01:18:02.331, 2, 0 %, 0 %, 6492 MiB, 49140 MiB, 64, 135.78 W
2026/03/29 01:18:02.331, 3, 100 %, 21 %, 6494 MiB, 49140 MiB, 58, 127.90 W
2026/03/29 01:18:32.331, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 63, 143.88 W
2026/03/29 01:18:32.332, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 127.23 W
2026/03/29 01:18:32.332, 2, 80 %, 34 %, 6492 MiB, 49140 MiB, 62, 134.68 W
2026/03/29 01:18:32.332, 3, 93 %, 18 %, 6494 MiB, 49140 MiB, 60, 127.40 W
2026/03/29 01:19:02.333, 0, 50 %, 33 %, 7747 MiB, 49140 MiB, 59, 137.81 W
2026/03/29 01:19:02.333, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 64, 129.04 W
2026/03/29 01:19:02.333, 2, 0 %, 0 %, 6492 MiB, 49140 MiB, 63, 138.18 W
2026/03/29 01:19:02.333, 3, 24 %, 16 %, 6494 MiB, 49140 MiB, 60, 132.40 W
2026/03/29 01:19:32.334, 0, 94 %, 20 %, 7747 MiB, 49140 MiB, 59, 142.42 W
2026/03/29 01:19:32.335, 1, 95 %, 32 %, 6494 MiB, 49140 MiB, 62, 126.80 W
2026/03/29 01:19:32.335, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 63, 138.15 W
2026/03/29 01:19:32.335, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 133.80 W
2026/03/29 01:20:02.336, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 63, 137.01 W
2026/03/29 01:20:02.336, 1, 1 %, 1 %, 6494 MiB, 49140 MiB, 62, 127.50 W
2026/03/29 01:20:02.336, 2, 100 %, 19 %, 6494 MiB, 49140 MiB, 62, 135.03 W
2026/03/29 01:20:02.336, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 59, 136.45 W
2026/03/29 01:20:32.337, 0, 93 %, 22 %, 7747 MiB, 49140 MiB, 60, 157.18 W
2026/03/29 01:20:32.338, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 65, 136.63 W
2026/03/29 01:20:32.338, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 65, 121.35 W
2026/03/29 01:20:32.338, 3, 100 %, 3 %, 6494 MiB, 49140 MiB, 58, 128.10 W
2026/03/29 01:21:02.339, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 63, 137.79 W
2026/03/29 01:21:02.339, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 63, 139.78 W
2026/03/29 01:21:02.339, 2, 100 %, 11 %, 6494 MiB, 49140 MiB, 62, 137.47 W
2026/03/29 01:21:02.339, 3, 100 %, 37 %, 6494 MiB, 49140 MiB, 58, 127.14 W
2026/03/29 01:21:32.340, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 60, 137.76 W
2026/03/29 01:21:32.340, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 129.39 W
2026/03/29 01:21:32.340, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 63, 137.64 W
2026/03/29 01:21:32.340, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 61, 145.03 W
2026/03/29 01:22:02.341, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 61, 137.70 W
2026/03/29 01:22:02.341, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 65, 126.41 W
2026/03/29 01:22:02.341, 2, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 134.98 W
2026/03/29 01:22:02.341, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 60, 127.06 W
2026/03/29 01:22:32.342, 0, 0 %, 0 %, 7747 MiB, 49140 MiB, 61, 137.15 W
2026/03/29 01:22:32.342, 1, 0 %, 0 %, 6494 MiB, 49140 MiB, 62, 127.87 W
2026/03/29 01:22:32.342, 2, 56 %, 36 %, 6494 MiB, 49140 MiB, 61, 134.77 W
2026/03/29 01:22:32.342, 3, 0 %, 0 %, 6494 MiB, 49140 MiB, 58, 131.15 W
